epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.01588,3.30962,4.23191,3.4214,0.00316,0.94737,0.02281,0.00383,3.03033,3.19402,2.93761,9e-05,9e-05,0.09109
2,3.47496,2.06231,3.33133,2.35405,0.00333,1,0.04551,0.01081,2.27883,3.40127,2.9107,0.00018829,0.00018829,0.0811883
3,4.88478,1.59609,2.53993,1.98543,0.00316,0.94737,0.03634,0.01465,2.25217,3.4237,3.10065,0.00028478,0.00028478,0.0712848
4,6.3174,1.32628,1.92422,1.7748,0.00289,0.86842,0.38592,0.13873,2.3887,3.25504,3.68667,0.00037947,0.00037947,0.0613795
5,7.72849,1.20298,1.37366,1.58034,0.00613,1,0.33425,0.17209,1.86131,2.98837,3.09527,0.00047236,0.00047236,0.0514724
6,9.13152,1.18837,1.20513,1.61023,1,0.17971,0.7044,0.36819,1.63279,2.39365,3.27841,0.00056345,0.00056345,0.0415634
7,10.521,1.15241,1.12733,1.54331,0.78426,0.39474,0.63772,0.36582,1.75021,2.06133,3.7756,0.00065274,0.00065274,0.0316527
8,11.9504,1.15401,1.07902,1.5809,0.95207,0.84211,0.97267,0.52333,1.50582,1.24844,3.25679,0.00074023,0.00074023,0.0217402
9,13.3204,1.11229,1.0103,1.55856,0.55462,0.76316,0.70915,0.44914,1.34046,1.58277,2.98994,0.00082592,0.00082592,0.0118259
10,14.7323,1.13847,0.99404,1.60406,1,0.92043,0.99053,0.57819,1.34385,1.14093,2.93272,0.00090981,0.00090981,0.00190981
11,16.0946,1.0727,0.99707,1.50837,0.97432,0.99849,0.99321,0.54945,1.31571,0.99368,2.81063,0.00091,0.00091,0.00091
12,17.4608,0.98381,0.85393,1.45323,0.96415,0.97368,0.98625,0.51894,1.32016,0.90576,2.78399,0.000901,0.000901,0.000901
13,18.8168,1.01934,0.85005,1.39925,1,0.99013,0.995,0.54716,1.23514,0.79708,2.79172,0.000892,0.000892,0.000892
14,20.1591,0.95329,0.78877,1.36331,0.97131,0.97368,0.95439,0.43838,1.47014,0.81277,3.17412,0.000883,0.000883,0.000883
15,21.5064,0.91612,0.77441,1.35801,0.99756,1,0.995,0.56018,1.17085,0.62328,2.60772,0.000874,0.000874,0.000874
16,22.8592,0.909,0.74884,1.33478,0.99791,1,0.995,0.56109,1.37387,0.79968,2.8608,0.000865,0.000865,0.000865
17,24.2371,0.93952,0.74139,1.39751,0.9983,1,0.995,0.59754,1.12176,0.58816,2.5018,0.000856,0.000856,0.000856
18,25.6262,0.8903,0.71725,1.33929,0.99828,1,0.995,0.60263,1.19386,0.59654,2.51172,0.000847,0.000847,0.000847
19,26.943,0.85532,0.66888,1.32759,0.99763,1,0.995,0.61784,1.14888,0.58179,2.39592,0.000838,0.000838,0.000838
20,28.2902,0.81125,0.6328,1.26784,0.99762,1,0.995,0.62206,1.08748,0.59089,2.16246,0.000829,0.000829,0.000829
21,29.7465,0.81269,0.62587,1.27197,0.99767,1,0.995,0.60415,1.14184,0.57286,2.02873,0.00082,0.00082,0.00082
22,31.1743,0.82431,0.63313,1.28862,0.99786,1,0.995,0.57193,1.26369,0.62936,2.39554,0.000811,0.000811,0.000811
23,32.5513,0.78884,0.59075,1.25935,0.99752,1,0.995,0.58866,1.13447,0.5704,2.53501,0.000802,0.000802,0.000802
24,33.9209,0.81417,0.59828,1.28169,0.99595,1,0.995,0.57492,1.11981,0.52385,2.4737,0.000793,0.000793,0.000793
25,35.2806,0.81143,0.59906,1.2643,0.99735,1,0.995,0.59809,1.05602,0.4975,2.3198,0.000784,0.000784,0.000784
26,36.6324,0.83956,0.59604,1.29259,0.99773,1,0.995,0.56907,1.06925,0.54233,2.40491,0.000775,0.000775,0.000775
27,37.9727,0.84703,0.6196,1.29049,0.99726,1,0.995,0.59069,1.10792,0.61869,2.59074,0.000766,0.000766,0.000766
28,39.3712,0.81001,0.59434,1.28411,0.99725,1,0.995,0.54918,1.22786,0.54475,2.59912,0.000757,0.000757,0.000757
29,40.7544,0.81323,0.6347,1.28706,0.99752,1,0.995,0.60231,1.12766,0.53243,2.4557,0.000748,0.000748,0.000748
30,42.092,0.81536,0.5704,1.22481,0.99686,1,0.995,0.59906,1.11501,0.56419,2.26923,0.000739,0.000739,0.000739
31,43.4349,0.78871,0.5733,1.27787,0.99509,1,0.995,0.58627,1.04125,0.63358,2.03538,0.00073,0.00073,0.00073
32,44.8374,0.79905,0.56243,1.26034,0.99724,1,0.995,0.58202,1.09405,0.56664,2.08552,0.000721,0.000721,0.000721
33,46.2477,0.77106,0.58009,1.24533,0.99839,1,0.995,0.57166,1.12244,0.50192,2.13595,0.000712,0.000712,0.000712
34,47.6377,0.77008,0.53202,1.19672,0.99837,1,0.995,0.58112,1.05241,0.47427,1.99794,0.000703,0.000703,0.000703
35,48.9837,0.80433,0.57058,1.27583,0.99833,1,0.995,0.55963,1.08005,0.55508,1.89114,0.000694,0.000694,0.000694
36,50.3816,0.72029,0.50965,1.17659,0.99841,1,0.995,0.58178,1.07405,0.53171,1.92242,0.000685,0.000685,0.000685
37,51.787,0.74104,0.51843,1.19243,0.99817,1,0.995,0.58994,1.01456,0.5472,1.83144,0.000676,0.000676,0.000676
38,53.2604,0.76063,0.52402,1.24716,0.99813,1,0.995,0.59579,1.13973,0.48134,1.93585,0.000667,0.000667,0.000667
39,54.5855,0.74195,0.51246,1.21556,0.99824,1,0.995,0.59465,1.0994,0.47862,1.96885,0.000658,0.000658,0.000658
40,55.9395,0.74475,0.50138,1.17902,0.99819,1,0.995,0.61551,1.06842,0.50722,2.05893,0.000649,0.000649,0.000649
